Bill of Material for ,,,,,
On 2019/4/22 at 16:49:16,,,,,
,,,,,
Comment,Pattern,Quantity,Components,,嘉利创元件编号
,,,,,
1.2KΩ,0805_R,1,R11,贴片电阻,C17379?
100KΩ,0805_R,1,R14,贴片电阻,C17407 
100nF,0805_C,17,"C2, C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C20, C22, C24, C25, C27",贴片电容,C49678
10KΩ,0805_R,3,"R2, R4, R19",贴片电阻,C17414 
10nF,0805_C,1,C16,贴片电容,C1710
1KΩ,0805_R,5,"R9, R10, R15, R16, R18",贴片电阻,C17513
1uF,0805_C,4,"C21, C23, C26, C28",贴片电容,C28323?
20KΩ,0805_R,1,R12,贴片电阻,C4328?
20pF,0805_C,2,"C18, C19",贴片电容,C1798 
330Ω,0805_R,5,"R1, R5, R6, R7, R8",贴片电阻,C17630 
4.7KΩ,0805_R,2,"R3, R20",贴片电阻,C17673 
8.2KΩ,0805_R,1,R13,贴片电阻,C17828?
8050,SOT-23_3C,2,"Q1, Q2",,C2146
8550,SOT23A,1,Q3,,C8542?
AMS1117-3.3,SOT223,1,U2,,C6186 
LM2596S-5.0,TO-263-5L(D2PAK),1,U1,Simple Switcher Power Converter 150 kHz 3A Step Down Voltage Regulator,C10002 
MAX232AESE,L16_L,1,U3,"+5V-Powered, Multichannel RS-232 Driver/Receiver",C26860
SS54,SMA(DO-214AC)_S1,1,D1,二极管,C22452?
STM32F103RCT6,LQFP-64_10x10x05P,1,U4,ARM,C8323
翠绿 0805,0805_LED_S1,1,D4,发光二极管,C34499?
红灯 0805,0805_LED_S1,2,"D2, D3",发光二极管,C84256
黄灯 0805,0805_LED_S1,1,D6,发光二极管,C2296
蓝灯 0805,0805_LED_S1,1,D5,发光二极管,C84256
